                    combo28    att406    att622   guard18     id868     id740    small4     att10
        IDLE + 2.1s        57  1065353216        57         0         0         0  1100956288         0
        IDLE + 2.2s        57  1065353216        57         1         0         0  1100956288         0
        IDLE + 2.2s        57  1065353216        57        18         0       845  1100956288         0
        IDLE + 2.2s        57         0        57         1         0         0  1100956288         0
        IDLE + 2.3s        57         0        57         2         0       845  1100956288         0
        IDLE + 2.3s        57         0        57        18         0         0         1         0
        IDLE + 2.4s        57         0        57         0         0       742         1         0
        IDLE + 2.4s        57         0        57         0         0         0         1         0
        IDLE + 2.4s        57         0        57        17         0         0         1         0
        IDLE + 2.4s        57         0        57         1         0         0         0         0
        IDLE + 2.5s        57         0        57         0         0         0         0         0
        IDLE + 2.5s        57         0        57         0  1071150280         0         0         0
        IDLE + 2.5s        57         0        57         0         0         0  1100983712         0
        IDLE + 2.6s        57         0        57         1         0         0  1100983712         0
        IDLE + 2.6s        57         0        57         2         0         0         0         0
        IDLE + 2.6s        57         0        57         0         0       915         1         0
        IDLE + 2.7s        57         0        57         1         0         0         1         0
        IDLE + 2.7s        57         0        57        32         0         0         1         0
        IDLE + 2.7s        57         0        57        32         0       493         1         0
        IDLE + 2.8s        57  1142704820        57         1         0         0         1         0
        IDLE + 2.8s        57  1142704820        57         0         0         0         1         0
        IDLE + 2.8s        57  1142704820        57         0         0       493  1067999744         0
        IDLE + 2.9s        57  1142704820        57         1         0         0         1         0
        IDLE + 2.9s        57  1069883064        57         0         0         0         0         0
        IDLE + 3.0s        57  1069883064        57         0         0         0  1066306560         0
        IDLE + 3.0s        57  1069883064        57         0         0         0         6         0
        IDLE + 3.0s        57  1069883064        57         1         0         0        32         0
        IDLE + 3.1s         1         1         1         1         0         0         0     27415
        IDLE + 3.1s         1         1         1         0         0         0         0     27415
        IDLE + 3.1s         1         1         1         1         0         0         0     27415
        IDLE + 3.2s         1         1         1         0         0         0         1     27415
        IDLE + 3.2s         1         1         1         1         0         0         1     27415
